round,accuracy,auc,method,dataset,noise_type,alpha,noise_rate,noisy_fraction,seed,feature_set
5,0.7926236575997492,0.7056388712671163,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
6,0.7935904470748086,0.7145873277752821,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
7,0.7927151106582008,0.7169186613631059,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
8,0.7935773823521727,0.7238357409696974,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
9,0.8030885004311359,0.7296664965408476,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
10,0.8030101120953202,0.7319575009086949,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
11,0.8020041284523529,0.735306190654062,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
12,0.8100258681508191,0.7398743302170093,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
13,0.8015076689921873,0.7406554628776851,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
14,0.8104308745525333,0.7462259668905566,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
15,0.8114499229181364,0.7482539886485888,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
16,0.8114368581955005,0.7482122336743313,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
17,0.8133443077003475,0.749913971616983,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
18,0.8119463823783021,0.7524962099209243,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
19,0.8112016931880536,0.75205418040309,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
20,0.8117373468161271,0.7542485107386457,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
21,0.8120378354367537,0.7539434346287929,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
22,0.8120770296046614,0.7555877831059554,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
23,0.8118679940424864,0.7546438527746939,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
24,0.8103655509393536,0.7540998999981346,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
25,0.8110579812390583,0.7566871123465101,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
26,0.8130960779702647,0.7578613928562007,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
27,0.8150035274751117,0.760751300211321,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
28,0.8146507799639414,0.7626580279747465,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
